Reference,Managed bee species (* indicates exotic range),Wild bee species,Location,Context,Managed bee metric (independent variable),Explanatory mechanism variable,Wild bee metric (dependent variable),Reported effect
Roubik 1980,A. mellifera*,"Melipona spp., Trigona spp.",South America (French Guiana),field (natural),visitation rates to feeders,partitioning & displacement interactions at feeders,visitation rates to feeders,0/-
Roubik 1983,A. mellifera*,"Melipona favosa, Melipona fulva",South America (French Guiana),field (natural),"presence/ absence, number of hives, amounts of brood, honey, & pollen in hive",none,"amounts of brood, honey, & pollen in nest",0
Roubik et al. 1986,A. mellifera*,many,North America (Panama),field (natural),"rate of forager return, foraging behavior (type, quantity, & quality of pollen & nectar gathered)",niche overlap,"rate of forager return, foraging behavior (type, quantity & quality of pollen & nectar gathered)",-/0
Roubik & Villanueva- Gutierrez 2009,A. mellifera*,many,North America (Mexico),field (natural),"presence/ absence, foraging behaviors (plant use)",niche overlap,"abundance, foraging behavior (pollen identity & diversity)",0
Roubik & Wolda 2001,A. mellifera*,many,North America (Panama),field (natural),"presence/ absence, abundance",none,abundance,0
Schaffer et al. 1979,A. mellifera*,"Bombus sonorous, Xylocopa arizonensis",North America (USA),field (natural),"visitation rates, foraging behavior (resource collection)",none,"visitation rates, foraging behavior (resource collection)",-
Schaffer et al 1983,A. mellifera*,many,North America (USA),field (natural),presence/ absence,nectar standing crop,visitation rates,-
Semida & Elbanna 2006,A. mellifera,many,Africa (Egypt),field (natural),visitation rates,none,visitation rates,-/0
Shavit et al. 2009,A. mellifera,many,Asia (Israel),field (natural),presence/ absence,none,"foraging behavior (temporal foraging patterns, plant use), visitation rates",-/0
Smith- Ramirez et al. 2014,"A. mellifera*, B. terrestris*",many,South America (Chile),field (natural),visitation rates,none,visitation rates,-
Sugden & Pyke 1991,A. mellifera*,Exoneura asimillima,Australia,field (natural),presence/ absence,none,"colony survival, developmental stage & sex ratios, relative frequency of founder vs. established colonies",-
Steffan- Dewenter & Tscharntke 2000,A. mellifera,many,Europe (Germany),field (natural),"density, visitation rates",niche overlap,"abundance, diversity, number of nests, number of brood cells, visitation rates",0
Tepedino et al. 2007,A. mellifera*,many,North America (USA),field (agricultural),"visitation rates, distance from hive",none,visitation rates,0
Thomson 2004,A. mellifera*,B. occidentalis,North America (USA),field (natural),distance from hive,foraging effort devoted to pollen collection,"foraging behavior (pollen vs. nectar collection, forager return rates), reproductive success",-
Thomson 2006,A. mellifera*,Bombus spp.,North America (USA),field (natural),"foraging behavior (plant use), visitation rates, distance from hive",niche overlap,"foraging behavior (plant use), visitation rates, abundance",-/0
Thomson 2016,A. mellifera*,Bombus spp.,North America (USA),field (natural),density,niche overlap,densities,-
Torne- Noguera et al. 2016,A. mellifera,many,Europe (Spain),field (natural),"distance to apiary, visitation rate",resource consumption (nectar & pollen consumption),"visitation rate, wild bee biomass",-
Walther- Hellwig et al. 2006,A. mellifera,Bombus spp.,Europe (Germany),field (agricultural),density,tongue length,visitation rates/ local abundance,-/0
Wilms & Weichers 1997,A. mellifera*,"Melipona bicolor, Melipona quadrifasciata",South America (Brazil),field (natural),foraging behavior (types & amount of pollen & nectar collected),niche overlap,foraging behavior (types & amount of pollen & nectar collected),-
