Reference,Managed bee species (* indicates exotic range),Wild bee species,Location,Context,Managed bee metric (independent variable),Explanatory mechanism variable,Plant metric (dependent variable),Reported effect
Kaiser- Bunbury et al. 2011,A. mellifera*,many,Seychelles,field (natural),visitation rates,none,"plant reproductive success, fruit set",-/0
Kenta et al. 2007,Bombus terrestris*,Bombus spp.,Asia (Japan),greenhouse,presence/absence,rate of legitimate floral visits,"fruit set, fruit quality",-
Liu et al. 2013,A. mellifera*,many,Asia (China),"field (natural, experiment plots)",visitation rates,pollen transfer & deposition,fruit & seed set,-
Liu et al. 2006,A. mellifera*,many,North America (USA),field (natural),visitation rates,none,fruit set,-
Lomov et al. 2010,A. mellifera*,many,Australia,field (natural),"presence/absence, visitation rates, foraging behavior (contact with stigma & anthers)","pollen count per stigma, presence/ absence of germinated pollen",fruit & seed set,0
Madjidian et al. 2008,Bombus ruderatus*,Bombus dahlbomii,South America (Argentina),field (natural),"visitation rates, foraging behavior (time spent per flower, pollen deposition)",pollinator effectiveness (efficiency per visit*visitation frequency),seed set,+
McGregor et al. 1959,A. mellifera*,many,North America (USA),field (natural),"visitation rates, foraging behavior",none,none,+/0
Miller et al. 2015,A. mellifera*,Hylaeus spp.,Hawaii,field (natural/ semi-natural),"visitation rates, foraging behavior (pollen quantity, type & diversity on body)",none,none,-
Montalva et al. 2011,"B. terrestris*, B. ruderatus*","B. dahlbomii, Bombus funebris",South America (Chile),field (natural),"distribution, foraging behavior (floral association)",none,distribution,-
Morandin & Kremen 2013,A. mellifera*,many,North America (USA),field (natural),"abundance, foraging behavior (floral preference)",none,none,+/0
Ott et al. 2016,A. mellifera*,"Bombus vosnesenskii, Xylocopa spp.",North America (USA),field (natural),"visitation rates, foraging behavior (handling time, contact with pollen/ stigma, nectar intake), body size",none,none,0
Richardson et al. 2016,A. mellifera*,many,North America (USA),field (natural),"visitation rates, foraging behavior (number of floral visits per plant, plant preferences)",none,"numbers of seed capsules, intact seeds, & total seeds",+
Sanguinetti & Singer 2014,"A. mellifera*, B. terrestris*, B. ruderatus*",many,South America (Argentina),field (natural),"visitation rates, pollinator behavior (time per flower, number of flowers visited)",none,fruit set,+
Simpson et al. 2005,A. mellifera*,many,Australia,field (natural),"presence/absence, visitation rates, foraging behavior (flower tripping)",pollinator efficacy (fruit set per single visit),"seed set, fruit set",-
Stout et al. 2002,"A. mellifera*, B. terrestris*",many,Tasmania,field (natural),visitation rates,none,"seed set, number of ovules fertilized per flower",-
Sun et al. 2013a,"A. mellifera*, B. terrestris*",many,Asia (China),field (natural),"visitation rates, foraging behavior (resource collection, number of flower visits per foraging bout, pollen removal & deposition)",pollination efficacy (combinations of all bee variables),fruit & seed set,+
Sun et al. 2013b,A. mellifera*,many,Asia (China),"field (natural, experiment plots)","presence/absence, visitation rate, foraging behavior (number of capitula visited per plant, pollen load diversity)",none,seed set,+/0
Taylor & Whelan 1988,A. mellifera*,many,Australia,field (natural),"visitation rate, foraging behavior (nectar vs. pollen collection, pollen deposition, pollen type & diversity)",none,none,-
Woods et al. 2012,A. mellifera*,many,North America (USA),field (natural),"visitation rate, foraging behavior",none,none,-
Xia et al. 2007,"A. mellifera*, Apis cerana","Bombus richardsi, Bombus. atrocinctus",Asia (China),field (natural),"presence/absence, abundance, visitation rate, foraging behaviors (intra- & inter- plant movement)",none,"outcrossing rates, fruit & seed set",+
