PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Muth, F; Gaxiola, RL; Leonard, AS				Muth, Felicity; Gaxiola, Rebekah L.; Leonard, Anne S.			No evidence for neonicotinoid preferences in the bumblebee Bombus impatiens	ROYAL SOCIETY OPEN SCIENCE												Neonicotinoid pesticides can have a multitude of negative sublethal effects on bees. Understanding their impact on wild populations requires accurately estimating the dosages bees encounter under natural conditions. This is complicated by the possibility that bees might influence their own exposure: two recent studies found that bumblebees (Bombus terrestris) preferentially consumed neonicotinoid-contaminated nectar, even though these chemicals are thought to be tasteless and odourless. Here, we used Bombus impatiens to explore two elements of these reported preferences, with the aim of understanding their ecological implication and underlying mechanism. First, we asked whether preferences persisted across a range of realistic nectar sugar concentrations, when measured at a series of time points up until 24 h. Second, we tested whether bees' neonicotinoid preferences were driven by an ability to associate their post-ingestive consequences with floral stimuli such as colour, location or scent. We found no evidence that foragers preferred to consume neonicotinoid-containing solutions, despite finding effects on feeding motivation and locomotor activity in line with previous work. Bees also did not preferentially visit floral stimuli previously paired with a neonicotinoid-containing solution. These results highlight the need for further research into the mechanisms underlying bees' responses to these pesticides, critical for determining how neonicotinoid-driven foraging preferences might operate in the real world for different bee species.																	2054-5703					MAY 20	2020	7	5							191883	10.1098/rsos.191883							WOS:000537255600001	32537195					
J	Ludicke, JC; Nieh, JC				Ludicke, Joshua C.; Nieh, James C.			Thiamethoxam impairs honey bee visual learning, alters decision times, and increases abnormal behaviors	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY												Learning is important for honey bee fitness and the pollination services that they provide. Neonicotinoid pesticides impair learning, fitness, colony health, and pollination, but most studies on how they affect bee learning have focused on olfactory learning. We tested the effects of field realistic doses of 0.8 ng/bee and 1.34 ng/bee of the neonicotinoid pesticide, thiamethoxam (TMX), on bee visual learning. We adapted a T-maze bioassay and classically conditioned bees to associate sugar reward with a simulated flower color (blue or yellow light) in a choice assay. At 1.34 ng/bee, TMX significantly reduced correct choices in the final learning trial as compared to the control treatment. There was no TMX effect in our 1-h memory test. We found stronger effects on decision time and abnormal behaviors. TMX decreased bee decision times, a potential byproduct of induced hyperactivity since bees walked to make choices. Behaviors (falling, trembling, and rapid abnormal movements) were significantly increased by both TMX doses as compared to the control treatment. These results suggest that the effects of neonicotinoids on bee visual learning should be further studied and incorporated into Risk Assessment protocols.																	0147-6513	1090-2414				APR 15	2020	193								110367	10.1016/j.ecoenv.2020.110367							WOS:000521519900014	32113123					
J	Longing, S; Peterson, E; Jewett, CT; Rendon, BM; Discua, SA; Wooten, KJ; Subbiah, S; Smith, PN; McIntyre, NE				Longing, Scott; Peterson, Eric; Jewett, Christopher T.; Rendon, Bianca M.; Discua, Samuel A.; Wooten, Kimberly J.; Subbiah, Seenivasan; Smith, Philip N.; McIntyre, Nancy E.			Exposure of Foraging Bees (Hymenoptera) to Neonicotinoids in the US Southern High Plains	ENVIRONMENTAL ENTOMOLOGY												Exposure to pesticides is a major threat to insect pollinators, potentially leading to negative effects that could compromise pollination services and biodiversity. The objectives of this study were to quantify neonicotinoid concentrations among different bee genera and to examine differences attributable to body size and surrounding land use. During the period of cotton planting (May-June), 282 wild bees were collected from habitat patches associated with cropland, grassland, and urban land cover and analyzed for three neonicotinoids (thiamethoxam, clothianidin, and imidacloprid). Twenty bees among eight genera contained one or more of the neonicotinoid compounds and detections occurred in all landscape types, yet with the most detections occurring in cropland-associated habitats. Apis Linnaeus (Hymenoptera: Apidae), Melissodes Latreille (Apidae), Perdita Smith (Andrenidae), and Lasioglossum Curtis (Halictidae) had multiple individuals with neonicotinoid detections. Two of the largest bees (Apis and Melissodes) had the greatest number of detections within genera, yet the relatively small-bodied genus Perdita had the three highest neonicotinoid concentrations reported. The number of detections within a genus and average generic body mass showed a marginally significant trend towards larger bees having a greater frequency of neonicotinoid detections. Overall, the relatively low percentage of detections across taxa suggests practices aimed at conserving grassland remnants in intensified agricultural regions could assist in mitigating exposure of wild bees to agrochemicals, while differences in bee traits and resource use could in part drive exposure. Further work is needed to address variable agrochemical exposures among pollinators, to support strategies for conservation and habitat restoration in affected landscapes.					McIntyre, Nancy/0000-0003-1790-3057												0046-225X	1938-2936				APR	2020	49	2					528	535		10.1093/ee/nvaa003							WOS:000536493400028	32025712					
J	Phelps, JD; Strang, CG; Sherry, DF				Phelps, Jordan D.; Strang, Caroline G.; Sherry, David F.			Imidacloprid impairs performance on a model flower handling task in bumblebees (Bombus impatiens)	ECOTOXICOLOGY												Bumblebees exposed to neonicotinoid pesticides collect less pollen on foraging trips. Exposed bumblebees are also slower to learn to handle flowers, which may account for reduced pollen collection. It is unclear, however, why neonicotinoid exposure slows learning to handle flowers. We investigated the effect of imidacloprid, a neonicotinoid pesticide, on bumblebee motor learning using a lab model of flower handling. Bumblebees learned to invert inside a narrow tube and lift a petal-shaped barrier to reach a reward chamber. Imidacloprid-exposed bumblebees showed a dose-dependent delay to solve the task, which resulted from reduced switching between behavioural strategies and a subsequent delay in use of the successful strategy. This effect was consistent in colonies exposed at 10 but not 2.6 ppb, suggesting a variable effect on individuals at lower doses. These results help to explain why exposed bumblebees are slow to learn to handle flowers and collect less pollen on foraging trips.																	0963-9292	1573-3017				APR	2020	29	3					359	374		10.1007/s10646-020-02182-8		MAR 2020					WOS:000517693600002	32124147					
J	Banks, JE; Banks, HT; Myers, N; Laubmeier, AN; Bommarco, R				Banks, J. E.; Banks, H. T.; Myers, N.; Laubmeier, A. N.; Bommarco, R.			Lethal and sublethal effects of toxicants on bumble bee populations: a modelling approach	ECOTOXICOLOGY												Pollinator decline worldwide is well-documented; globally, chemical pesticides (especially the class of pesticides known as neonicotinoids) have been implicated in hymenopteran decline, but the mechanics and drivers of population trends and dynamics of wild bees is poorly understood. Declines and shifts in community composition of bumble bees (Bombus spp.) have been documented in North America and Europe, with a suite of lethal and sub-lethal effects of pesticides on bumble bee populations documented. We employ a mathematical model parameterized with values taken from the literature that uses differential equations to track bumble bee populations through time in order to attain a better understanding of toxicant effects on a developing colony of bumble bees. We use a delay differential equation (DDE) model, which requires fewer parameter estimations than agent-based models while affording us the ability to explicitly describe the effect of larval incubation and colony history on population outcomes. We explore how both lethal and sublethal effects such as reduced foraging ability may combine to affect population outcomes, and discuss the implications for the protection and conservation of ecosystem services.				Banks, John E./AAN-2300-2020	Banks, John E./0000-0001-6793-7613												0963-9292	1573-3017				APR	2020	29	3					237	245		10.1007/s10646-020-02162-y		FEB 2020					WOS:000516140300001	32060669					
J	Batista, AC; Domingues, CED; Costa, MJ; Silva-Zacarin, ECM				Batista, Ana Carolina; da Costa Domingues, Caio Eduardo; Costa, Monica Jones; Mathias Silva-Zacarin, Elaine Cristina			Is a strobilurin fungicide capable of inducing histopathological effects on the midgut and Malpighian tubules of honey bees?	JOURNAL OF APICULTURAL RESEARCH												Bees that forage in agricultural plantations and surroundings are exposed to pesticide residues, which can cause sublethal effects in individuals and consequently compromise the performance of the colony. Regarding the honey bees, beekeepers can be hampered by decreased production of honey and other bee products. Although the effects of insecticides on bees are widely studied for obvious reasons, there is growing evidence that fungicides, too, are not harmless to bees. However, further studies are needed on the effects caused by fungicide residues present in pollen and nectar which are collected and consumed by honey bees. For this reason, we aimed to perform a histopathological diagnosis and cell death immunolabeling in the midgut and Malpighian tubules of Africanized honey bee workers throughout continuous oral exposure (24 h, 48 h, 72 h, 96 h) to low concentrations of picoxystrobin (9 ppb and 18 ppb), a strobilurin fungicide. Although there were no histopathological effects on the Malpighian tubules, an organ that plays a role in excretion, these effects were observed in the midgut of bees exposed to both concentrations of picoxystrobin. Morphological alterations, as well as positive-labeling for cell death, were observed in the midgut of exposed bees over time (from 24 to 96 h after the beginning of exposure). Although the data have shown evidence of intestinal epithelial renewal in response to cytotoxic effects, i.e., recovery after short-time exposure, this organ may have its nutrient absorption functions compromised in the long-term, which may lead to symptoms of malnutrition and affect the individual's performance, which could, in turn, affect the whole colony.				Domingues, Caio Eduardo C/V-4142-2017	Domingues, Caio Eduardo C/0000-0001-8575-2735; Costa, Monica/0000-0001-9424-947X												0021-8839	2078-6913				OCT 19	2020	59	5					834	843		10.1080/00218839.2020.1724678		FEB 2020					WOS:000514728900001						
J	da Silva, PR; dos Santos, CEM; da Silva, RS; da Silva, EM; Lopes, MC; Paes, JD; Picanco, MC				da Silva, Paulo Roberto; Magalhaes dos Santos, Carlos Eduardo; da Silva, Ricardo Siqueira; da Silva, Ezio Marques; Lopes, Mayara Cristina; Paes, Jhersyka da Silva; Picanco, Marcelo Coutinho			Assessing the resistance of passion fruit genotypes as control method to Tetranychus mexicanus	CROP PROTECTION												Tetranychus mexicanus (McGregor) (Acari: Tetranychidae) is one of the most significant pests that affect passion fruit in America. One way to reduce pesticides application is management using resistant plants as one of the highlights of integrated pest management programs. The first step to obtaining commercial pest-resistant cultivars is the selection of resistant plant genotypes in the breeding programs of plants. Thus, this study aimed to utilize preference and performance responses of T. mexicanus in different passion fruit genotypes to determine the resistance to T. mexicanus. To identify antixenosis and antibiosis resistance, we evaluated the T. mexicanus preference and a life table experiment was conducted recording developmental time, survival, reproductive output, and longevity of T. mexicanus for the 25 genotypes. A total of 9 genotypes were the least preferred by the T. mexicanus and, thus were classified as the most resistant to this mite by the antixenosis mechanism. The genotype 4 was the one the affected the mite most negatively, reducing the females' longevity while a total of 14 genotypes were affected most negatively the fecundity of the mites. Therefore, we determined that the genotype 4 exhibits resistance trough antixenosis and antibiosis to the T. mexicanus and, thus, can be used as a source of resistance to this mite while seeking the production of cultivars resistant to this pest.				Silva, Ezio/AAD-5418-2020; Santos, Carlos Eduardo Magalhaes dos/H-2231-2012; Picanco, Marcelo/AAQ-2477-2020; Siqueira da Silva, Ricardo/F-2833-2016	Silva, Ezio/0000-0001-7273-962X; Santos, Carlos Eduardo Magalhaes dos/0000-0002-0575-7999; Picanco, Marcelo/0000-0002-1294-6210; Siqueira da Silva, Ricardo/0000-0003-1837-1339; Paes, Jhersyka/0000-0002-6224-0603; Lopes, Mayara Cristina/0000-0001-6718-1502												0261-2194	1873-6904				FEB	2020	128								104990	10.1016/j.cropro.2019.104990							WOS:000502892700001						
S	Matsuda, K; Ihara, M; Sattelle, DB		Insel, PA		Matsuda, Kazuhiko; Ihara, Makoto; Sattelle, David B.			Neonicotinoid Insecticides: Molecular Targets, Resistance, and Toxicity	ANNUAL REVIEW OF PHARMACOLOGY AND TOXICOLOGY, VOL 60	Annual Review of Pharmacology and Toxicology											Neonicotinoids have been used to protect crops and animals from insect pests since the 1990s, but there are concerns regarding their adverse effects on nontarget organisms, notably on bees. Enhanced resistance to neonicotinoids in pests is becoming well documented. We address the current understanding of neonicotinoid target site interactions, selectivity, and metabolism not only in pests but also in beneficial insects such as bees. The findings are relevant to the management of both neonicotinoids and the new generation of pesticides targeting insect nicotinic acetylcholine receptors.				Matsuda, Kazuhiko/AAX-4926-2020; Ihara, Makoto/Q-7204-2016	Ihara, Makoto/0000-0002-6403-0781												0362-1642	1545-4304	978-0-8243-0460-7				2020	60						241	255		10.1146/annurev-pharmtox-010818-021747							WOS:000507470800013	31914891					
J	Rundlof, M; Lundin, O				Rundlof, Maj; Lundin, Ola			Can Costs of Pesticide Exposure for Bumblebees Be Balanced by Benefits from a Mass-Flowering Crop?	ENVIRONMENTAL SCIENCE & TECHNOLOGY												Mass-flowering crops provide forage for bees but also contain pesticides. Such pesticide exposure can harm bees, but our understanding of how this cost is balanced by forage benefits is limited. To provide insights into benefits and costs, we placed bumblebee colonies in 18 landscapes with conventional red clover fields treated with the neonicotinoid thiacloprid (flowers + pesticide), untreated organic red clover fields (flowers), or landscapes lacking clover fields (controls). Colonies grew heavier near thiacloprid-treated clover compared to controls lacking clover, while colonies near untreated clover did not differ from colonies in neither of the other landscape types. Thiacloprid treatment effectively controlled pests and increased bumblebee crop visitation. However, colony production of queens and males did not differ among landscape types. In conclusion, thiacloprid application in clover appears to be of low risk for bumblebees. More generally, neonicotinoids may not be equally harmful when used in flowering crops and effective low-risk pest control in such crops could potentially benefit bumblebees and crop pollination.				Lundin, Ola/X-7392-2019	Lundin, Ola/0000-0002-5948-0761												0013-936X	1520-5851				DEC 17	2019	53	24					14144	14151		10.1021/acs.est.9b02789							WOS:000503910500010	31773944					
J	Brodie, J; Landos, M				Brodie, Jon; Landos, Matt			Pesticides in Queensland and Great Barrier Reef waterways - potential impacts on aquatic ecosystems and the failure of national management	ESTUARINE COASTAL AND SHELF SCIENCE												Pesticide residues are found ubiquitously in Queensland east coast and Great Barrier Reef (GBR) waterbodies. The highest concentrations, often above Australian guidelines, are found adjacent to and downstream of areas of intensive cropping, largely sugarcane cultivation and horticulture. Due to the iconic status of the GBR more information on pesticide levels, risk to ecosystems and management solutions are available than in other parts of Australia. Freshwater bodies being, in general, closer to the source of pesticide residues from intensive agriculture, have higher concentrations present than waterbodies further away from the agriculture e.g. estuarine and marine environments. As such pesticide residues present a higher risk in these waterbodies with a lowering of risk as ecosystems become further distant from the sources. Management of pesticides in Australia is a joint responsibility of the Australian and State governments. Management for environmental protection at the Australian level by the regulator, the Australian Pesticide and Veterinary Medicine Authority, has serious deficiencies in process and practice. However at the Queensland Government level action is being taken to reduce pesticide pollution of waterways, including research, monitoring, risk assessments and application of better pesticide application methods. However only limited progress is being made in reducing pesticide exposure. Given the large knowledge base of pesticide management methods available there is some hope that residue levels and risk to ecosystems can be reduced.																	0272-7714	1096-0015				DEC 15	2019	230								106447	10.1016/j.ecss.2019.106447							WOS:000505649500017						
J	Cullen, MG; Thompson, LJ; Carolan, JC; Stout, JC; Stanley, DA				Cullen, Merissa G.; Thompson, Linzi J.; Carolan, James. C.; Stout, Jane C.; Stanley, Dara A.			Fungicides, herbicides and bees: A systematic review of existing research and methods	PLOS ONE												Bees and the pollination services they deliver are beneficial to both food crop production, and for reproduction of many wild plant species. Bee decline has stimulated widespread interest in assessing hazards and risks to bees from the environment in which they live. While there is increasing knowledge on how the use of broad-spectrum insecticides in agricultural systems may impact bees, little is known about effects of other pesticides (or plant protection products; PPPs) such as herbicides and fungicides, which are used more widely than insecticides at a global scale. We adopted a systematic approach to review existing research on the potential impacts of fungicides and herbicides on bees, with the aim of identifying research approaches and determining knowledge gaps. While acknowledging that herbicide use can affect forage availability for bees, this review focussed on the potential impacts these compounds could have directly on bees themselves. We found that most studies have been carried out in Europe and the USA, and investigated effects on honeybees. Furthermore, certain effects, such as those on mortality, are well represented in the literature in comparison to others, such as sub-lethal effects. More studies have been carried out in the lab than in the field, and the impacts of oral exposure to herbicides and fungicides have been investigated more frequently than contact exposure. We suggest a number of areas for further research to improve the knowledge base on potential effects. This will allow better assessment of risks to bees from herbicides and fungicides, which is important to inform future management decisions around the sustainable use of PPPs.				Stout, Jane/AAS-8867-2020; Stanley, Dara/K-2295-2012; Stout, Jane C/B-1631-2010	Stout, Jane/0000-0002-2027-0863; Stanley, Dara/0000-0001-8948-8409; Stout, Jane C/0000-0002-2027-0863; Thompson, Linzi Jay/0000-0001-6570-6192; Cullen, Merissa/0000-0002-6982-9840												1932-6203					DEC 10	2019	14	12							e0225743	10.1371/journal.pone.0225743							WOS:000534035700020	31821341					
J	Vitorino, LC; Palharini, KMZ; Rocha, AFD; Prates, LS; Goulart, LG; Silva, AL; Bessa, LA				Vitorino, Luciana Cristina; Zanuzzi Palharini, Kelly Maria; de Souza Rocha, Ana Flavia; Prates, Leticia Souza; Goulart, Lucy Gomes; Silva, Andre Luiz; Bessa, Layara Alexandre			Application of bacteria symbiotic with Butia archeri (Arecaceae) to the biocontrol of the phytopathogenic fungi that deteriorate seeds of Glycine max	SEED SCIENCE AND TECHNOLOGY												Rhizospheric and endophytic microorganisms compete with phytopathogens for ecological niches, which led us to hypothesise that bacteria symbiotic with the palm Butia archeri may influence the germination of the seeds of Glycine max and provide effective biocontrol against phytopathogens. We evaluated seed biopriming with rhizospheric strains of the bacteria Enterobacter asburiae and Bacillus cereus, and endophytic strains of Enterobacter cloacae, Enterobacter sp., Bacillus sp. and Pantoea agglomerans. Seeds treated with E. cloacae and Enterobacter sp. presented higher germination potential, germination velocity index and accumulation of fresh biomass in the radicle than seeds that were untreated or treated with other bacteria. Seeds that were not treated were also most affected by fungi, in particular Fusarium and Penicillium, during storage. When treated with B. cereus and E. asburiae, fungal infestation of the stored seeds was reduced to levels similar to those found in seeds treated with chemical fungicide. Our combined analysis of the influence of these strains on radicular growth and the control of phytopathogens, indicates that the rhizospheric strains of B. cereus and E. asburiae may have the best potential for biocontrol. The present study also demonstrated that the microbiota associated with plants native to the Brazilian Cerrado may be a promising source of species or biomolecules with potential for the biocontrol of plant pathogens.																	0251-0952	1819-5717				DEC	2019	47	3					325	341		10.15258/sst.2019.47.3.08							WOS:000514174500008						
J	Buszewski, B; Bukowska, M; Ligor, M; Staneczko-Baranowska, I				Buszewski, Boguslaw; Bukowska, Malgorzata; Ligor, Magdalena; Staneczko-Baranowska, Irena			A holistic study of neonicotinoids neuroactive insecticides-properties, applications, occurrence, and analysis	ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH												Among pesticides and foliar sprays involved in the treatment of seed, soil, and grass, also to crops, an important group is neonicotinoids. Neonicotinoid pesticides present similar properties with nicotine, but the mentioned compounds are less harmful for humans. Nevertheless, neonicotinoids are poisonous to insects and some invertebrates, which can act against insects' central nervous system, leading to their death. Moreover, neonicotinoids can affect the reproduction, foraging, and flying ability of honeybee and other insects including pollinators. In the present study, some neonicotinoids, such as imidacloprid, acetamiprid, clothianidin, thiacloprid, and thiamethoxam together with their toxic effects, have been presented. The Environmental Protection Agency (EPA) classifies these neonicotinoids as II and III class toxicity agents. Due to accumulation of these pesticides into the pollen of treated plants, especially due to their toxic effects against pollinators, the consequences of the occurrence of these insecticides have been discussed. Analytical aspects and methods involved in the isolation and determination of this class of pesticides have been presented in this contribution.				Buszewski, BogusAaw/AAT-5316-2020; Ligor, Magdalena/H-6239-2014	Ligor, Magdalena/0000-0001-7059-907X; Buszewski, Boguslaw/0000-0002-5482-7500												0944-1344	1614-7499				DEC	2019	26	34					34723	34740		10.1007/s11356-019-06114-w							WOS:000507275600005	31520389					
J	Erban, T; Vaclavikova, M; Tomesova, D; Halesova, T; Hubert, J				Erban, Tomas; Vaclavikova, Marta; Tomesova, Daniela; Halesova, Tatana; Hubert, Jan			tau-Fluvalinate and other pesticide residues in honey bees before overwintering	PEST MANAGEMENT SCIENCE												BACKGROUNDPesticides have often been linked to honey bee colony losses, which occur mainly over winter. In this study, we investigated residues in nine colonies at a model agricultural research site during the period before wintering. Moreover, we applied the acaricide tau-fluvalinate to the colonies via a strip formulation. The pesticide content was determined by UHPLC-QqQ-MS/MS in bees from brood comb initially collected in mid-September immediately prior to the start of tau-fluvalinate treatment and 30 later at the time of tau-fluvalinate strip removal. RESULTSIn addition to commonly analyzed pesticides, we detected two plant growth regulators, chlormequat and metazachlor, in the bee colonies. Whereas thiacloprid, chlormequat and acetamiprid decreased after 30days and contributed considerably to differences between sample time points, other pesticides appeared to be rather stable. Interestingly, we identified diazinon, which has been banned in the European Union since 2007. The residues of methiocarb sulfoxide and imidacloprid-urea in the absence of their parent compounds indicate historical environmental contamination that can be identified by the detection of residues in a bee colony. tau-Fluvalinate was detected only after the 30-day treatment at an average (SD) concentration of 1.29 +/- 1.93ng/bee, ranging from 0.06 to 7.13ng/bee. CONCLUSIONThe multidimensional behavior of pesticides in a bee colony was indicated. Although the research area is used for agriculture, the measured pesticide level was relatively low. The recorded concentrations of tau-fluvalinate should not be dangerous to bees, as the values were similar to 200-5000-fold lower than the reported median lethal dose (LD50) values. (c) 2019 Society of Chemical Industry				Erban, Tomas/F-9615-2011; Hubert, Jan/K-5489-2012	Erban, Tomas/0000-0003-1730-779X; Hubert, Jan/0000-0003-0740-166X												1526-498X	1526-4998				DEC	2019	75	12					3245	3251		10.1002/ps.5446							WOS:000494686900015	30983110					
J	Jiang, JG; Liu, X; Huang, XP; Yu, X; Zhang, WW; Zhang, XX; Mu, W				Jiang, Jiangong; Liu, Xiao; Huang, Xueping; Yu, Xin; Zhang, Wenwen; Zhang, Xianxia; Mu, Wei			Comparative ecotoxicity of neonicotinoid insecticides to three species of Trichogramma parasitoid wasps (Hymenoptera: Trichogrammatidae)	ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY												Compatibility of neonicotinoid insecticides with the natural enemies has been concerned for decades. This study aims to evaluate and compare the acute and sublethal toxicity effects of neonicotinoid insecticides on three species of Trichogramma parasitoid wasps (i.e. Trichogramma dendrolimi, T. ostriniae and T. confusum) with broad distribution and great relevance to integrated pest management (IPM) strategies. A residual contact bioassay demonstrated that nitenpyram had the greatest intrinsic toxicity to T. dendrolimi and T. ostriniae with LC50 values of 0.060 (0.056-0.065) and 0.066 (0.050-0.087) mg a.i. L-1, respectively. But for T. confusum, the most toxic neonicotinoid insecticide is dinotefuran with a LC50 value of 0.065 (0.055-0.078) mg a.i. L-1. Furthermore, based on the risk quotient estimation, acetamiprid was considered to be the only safe neonicotinoid insecticide (Class 1, RQ < 50). A dipped egg contact bioassay showed that neonicotinoid insecticides induced significant toxic effects on the parasitism of three Trichogramma spp. at low-lethal concentrations. Additionally, emergence probability of the unexposed offspring was also significantly reduced by neonicotinoids. According to the estimated EC50 values, acetamiprid possessed the least toxicity to the parasitism and emergence of T. dendrolimi and T. ostriniae, and for T. confusum, the least toxic neonicotinoid insecticide was thiacloprid. Overall, among the test neonicotinoid insecticides, acetamiprid and thiacloprid may exhibit the less ecotoxicity to the test Trichogramma species.																	0147-6513	1090-2414				NOV 15	2019	183								109587	10.1016/j.ecoenv.2019.109587							WOS:000487178000043	31509925					
J	Christen, V; Krebs, J; Bunter, I; Fent, K				Christen, Verena; Krebs, Jana; Buenter, Ivan; Fent, Karl			Biopesticide spinosad induces transcriptional alterations in genes associated with energy production in honey bees (Apis mellifera) at sublethal concentrations	JOURNAL OF HAZARDOUS MATERIALS												Bees experience substantial colony losses, which are often associated with pesticides. Besides synthetic insecticides biological compounds such as spinosad are used in agriculture and organic farming against insect pests. However, potential adverse effect at sublethal concentrations to pollinators are poorly known. Here we aim to determine potential adverse outcome pathways of spinosad and to identify molecular effects by investigating transcriptional alterations in the brain of honey bees. We experimentally exposed bees to three sublethal concentrations of 0.05, 0.5 and 5 ng spinosad/bee, and assessed transcriptional alterations of target genes. Additionally, we evaluated whether spinosad-induced transcriptional alterations were influenced by the time of the year. In April, alterations were most pronounced after 24 h exposure, while in June alterations occurred mostly after 48 h. In July, expressional alterations were often lower but the pattern was more similar to that in June than that in April. Down-regulation of genes encoding acetylcholine receptors, enzymes involved in oxidative phosphorylation (cox5a, ndufb7 and cox17), cytochrome P450 dependent monooxygenases (cyp9q1, cyp9q2 and cyp9q3) and insulin-like peptide-1 were among the most significant transcriptional alterations. This suggests adverse effects of spinosad to energy production and metabolism and thus negative consequences on foraging. Together, our study indicates that spinosad causes adverse effects at environmentally realistic concentrations, which may pose a risk to bee populations.																	0304-3894	1873-3336				OCT 15	2019	378								120736	10.1016/j.jhazmat.2019.06.013							WOS:000489188300007	31202068					
J	Morfin, N; Goodwin, PH; Correa-Benitez, A; Guzman-Novoa, E				Morfin, Nuria; Goodwin, Paul H.; Correa-Benitez, Adriana; Guzman-Novoa, Ernesto			Sublethal exposure to clothianidin during the larval stage causes long-term impairment of hygienic and foraging behaviours of honey bees	APIDOLOGIE												Most studies on the effects of neonicotinoid insecticides on neural processes of honey bees are based on behaviours performed by adult bees exposed as adults. It is unclear how the developing brains of honey bee larvae are affected by sublethal doses of neonicotinoid insecticides when measuring neural processes through behavioural performance in adult bees. In this study, larvae were exposed to three sublethal doses of clothianidin and evaluated 25-36 days later for hygienic and foraging behaviours as adult bees. The medium and highest sublethal doses of clothianidin significantly reduced hygienic and foraging activity. The greatest effects were on the proportion of adult bees foraging and carrying pollen. These results show that exposure of larvae to clothianidin results in negative effects extending into the adulthood of bees, possibly compromising the colony's fitness by impairing pathogen control mechanisms and by reducing pollen collection.					CORREA-BENITEZ, ADRIANA/0000-0001-7806-1995; Morfin, Nuria/0000-0002-1841-2084												0044-8435	1297-9678				OCT	2019	50	5					595	605		10.1007/s13592-019-00672-1							WOS:000493655800001						
J	Christen, V; Krebs, J; Fent, K				Christen, Verena; Krebs, Jana; Fent, Karl			Fungicides chlorothanolin, azoxystrobin and folpet induce transcriptional alterations in genes encoding enzymes involved in oxidative phosphorylation and metabolism in honey bees (Apis mellifera) at sublethal concentrations	JOURNAL OF HAZARDOUS MATERIALS												Fungicides are highly used for plant protection but their molecular and chronic effects are poorly known. Here, we analyse transcriptional effects in the brain of honey bees of three frequently applied fungicides, azoxystrobin, chlorothanolin and folpet, after oral exposure for 24, 48 and 72 h. Among transcripts assessed were genes encoding proteins for immune and hormone system regulation, oxidative phosphorylation, metabolism, and acetylcholine receptor alpha 1. Azoxystrobin and folpet induced minor alterations, including down-regulation of hbg-3 by azoxystrobin and induction of ndufb-7 by folpet. Chlorothanolin induced strong transcriptional down regulation of genes encoding enzymes related to oxidative phosphorylation and metabolism, including cyp9q1, cyp9q2 and cyp9q3, acetylcholine receptor alpha 1 and hbg-3 and ilp-1, which are linked to hormonal regulation and behavioural transition of honey bees. Exposures to chlorothanolin in different seasonal times showed different responsiveness; responses were faster and often stronger in April than in June. Chlorothanolin caused the strongest effects and affected transcriptional abundance of genes related to energy production, metabolism and the endocrine system. Disturbed energy production may reduce foraging activity and hormonal dysregulation, such as the transition of nurse bees to foragers. Further analyses are needed to further substantiate potential adverse effects of chlorothanolin in bees on the physiological level.																	0304-3894	1873-3336				SEP 5	2019	377						215	226		10.1016/j.jhazmat.2019.05.056							WOS:000474676800025	31170570					
